feature,importance
vol_lag_1,0.9624346226146071
garch_vol_prediction,0.009236376101652394
volume_lag_1,0.008309622485634079
rolling_mean_return,0.0067143499567930654
vol_lag_10,0.004299112411567073
vol_lag_5,0.0031865816323299505
return_lag_1,0.002232969852155183
return_lag_5,0.0018874709093640155
return_lag_10,0.0016988940358972032
